Value               , matlotlib                                                                                                                      , seaborn , bokeh , pandas
barchart            , [plt.bar(...)](https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.bar.html#matplotlib.axes.Axes.bar)               , +       , +     , [df.plot.bar(...)](https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.bar.html)
grouped barchart    ,                                                                                                                                ,         ,       , [df.plot.bar(...)](https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.bar.html)
stacked barchart    ,                                                                                                                                ,         ,       , [df.plot.bar(stacked=True)](https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.bar.html)
spline chart        ,                                                                                                                                ,         ,       ,
multiline chart     ,                                                                                                                                ,         ,       ,
compound line chart ,                                                                                                                                ,         ,       ,
histogram           , [plt.hist(...)](https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.hist.html#matplotlib.axes.Axes.hist)                                                                                                                               ,         ,       ,                                                                                                                               ,
linechart           , [plt.plot(...)](https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.plot.html#matplotlib.axes.Axes.plot)                                                                                                                              , +       , +     , [df.plot.line(...)](https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.line.html)               ,
piechart            , [plt.pie(...)](https://matplotlib.<br/>org/stable/api/_as_gen/matplotlib.axes.Axes.pie.html#matplotlib.axes.Axes.pie)                                                                                                                              ,         , +     , [df.plot.pie(...)](https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.pie.html)                 ,
exploded piechart   ,                                                                                                                                ,         ,       , -
donutchart          ,                                                                                                                                ,         ,       , -
countourplot        , [plt.contour(...)](https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.contour.html#matplotlib.axes.Axes.contour)                                                                                                                              , +       ,       , -
distributionplot    , +                                                                                                                              , +       ,       , +
point chart         ,                                                                                                                                ,         ,       ,
scatterplot         , [plt.scatter(...)](https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.scatter.html#matplotlib.axes.Axes.scatter)                                                                                                                               ,         ,
bubblechart         ,                                                                                                                                ,         ,       , [df.plot.scatter(s=...,c=...)](https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.scatter.html)
radar chart         ,                                                                                                                                ,         ,       , -
boxplot             , [plt.boxplot(...)](https://matplotlib.org/stable/api/_as_gen/matplotlib.axes.Axes.boxplot.html#matplotlib.axes.Axes.boxplot)                                                                                                                               ,         ,       , [df.plot.boxplot(...)](https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.boxplot.html)
easy png export     , +                                                                                                                              , +       ,       , +
color palettes      ,                                                                                                                                , +       ,       ,
interactive graph   ,                                                                                                                                ,         , +     ,
data frame          ,                                                                                                                                ,         ,       , [df](tbd)
